,PC1,PC2,PC3,PC4,PC5,PC6,PC7,Type_of_Song
0,-0.11341624500455615,0.4737109347629753,-0.17685375338894133,1.095969010262343,0.11426561156434016,0.07311674333778055,0.46897110660098157,Liked
1,0.4558243622561785,0.6911624858969168,-1.2715795730576922,0.02644820349736943,0.7049254220342965,0.8654902642336857,-1.0931692647067477,Liked
2,1.8051977517120221,1.1568758921602957,1.1402917650112943,1.6934721441356584,0.2630382650246809,-0.1259542401310664,-0.6591758119498542,Liked
3,-1.038316213504082,0.3629090276571128,-0.17223126558377877,-0.6550788904330056,-0.748531776734822,0.5062940571481557,-0.3015229194185274,Liked
4,1.8171729928160096,0.08295948501730854,0.5578984933984757,1.4136337303837798,-0.6208734804059761,-0.23046421507336082,0.3394106140342122,Liked
5,1.595983766614235,0.3001795595149712,-0.42864029029711814,-0.581177863373766,0.5621829069010978,0.7357370874618822,-0.4773230319220059,Liked
6,1.2247303717202056,-0.5428979827813577,0.5621713335505638,0.9052842384181432,-0.9723186699543126,1.0541079757599783,-1.6616305033851055,Liked
7,0.5792046562520521,0.6695918945248786,-0.2911567840242185,-0.15346904650149348,-0.6884553324388184,0.7179344941348978,-0.52016576479072,Liked
8,-1.7181590195652554,2.4996118597812123,1.8088271012166592,1.0136272512626474,-0.46927441547885723,-0.2999485547496301,0.1922805945116306,Liked
9,1.2569959808613713,0.7866489572804588,-1.6881466075054679,-0.8563148690107294,-0.22257360336174759,-1.2862988428807578,0.08907357754165093,No-Liked
10,1.4871072461597652,-1.0197059256883363,-0.7792073808312938,-1.4953630903440216,0.6873152702860927,0.9107845815888688,0.7215041732948948,Liked
11,1.8336909873877343,-0.39504424576242586,1.868357078428588,1.346093406705797,0.5317702219329616,-0.6246254315990748,-0.41665925198845627,Liked
12,1.379167730287131,-0.08820878920238986,-0.33536053897735957,0.6788092161757706,-0.9069732939188583,-0.941609366289944,1.3426877429580757,Liked
13,0.4744263135154493,-1.1969614507881872,-0.6549161996565699,-0.23623836405182053,-0.33944426839682296,0.3459017900328064,-0.4149719539867783,Liked
14,0.41406395261951023,-1.2526555582089107,-0.0672300959253185,-0.722460654092102,-1.2426165553407822,0.1162395483929812,0.17895935825582848,Liked
15,1.4675651122201903,-0.6440009084418576,0.4111674967481093,1.0802049944919812,-1.589062945213327,-0.7300608276414992,1.1013633792653361,Liked
16,0.5991586082373535,-0.0005279814778249832,1.0630282900733867,2.0324308200144365,-0.22342133758459776,0.5209421171216653,-0.5952941950524991,No-Liked
17,1.332826994522404,-0.5610866858974274,-0.27699887203218265,-0.1699548832629838,-0.715114057498687,0.7453213775193441,-0.3774536702461305,Liked
18,0.631401131257929,0.7172994118891519,-0.24560967492138763,-1.3173227685725357,0.8549795983816937,-2.47928677718843,-0.8821534004686847,Liked
19,0.631401131257929,0.7172994118891519,-0.24560967492138763,-1.3173227685725357,0.8549795983816937,-2.47928677718843,-0.8821534004686847,Liked
20,-7.368556817042804,-4.471475032464531,-3.836613993860648,3.0416683682233576,1.7566422283493655,0.043323498791666415,3.142434132692289,No-Liked
21,-6.870678142303863,-0.4205288310727915,1.6319180737841903,-0.9978441066266739,-2.0488429189891915,-0.08705017395137836,0.12179482272527042,No-Liked
22,-7.217707795072725,-0.5449921499096899,0.7736593739871543,-0.1368271089619176,0.05394225289065996,1.238631775569599,-0.06876737511907226,No-Liked
23,-8.13184897000617,-0.9532491219663037,0.31521310686655724,-0.8597341712436964,-0.7006467772952271,0.28090418723690425,1.0592293834312994,No-Liked
24,-7.347010087707108,-1.0274018662489222,1.1850238465188947,-0.13132192388898342,-1.1186750174323197,0.13060553900428765,-0.1324092431935738,No-Liked
