,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,acousticness
0,NakamuraEmi,NIPPONNO ONNAWO UTAU BEST2,ちっとも知らなかった,2nFlfyBgXxH2KT5W5tcxjh,0.634,0.828,6,-3.382,0,0.0414,3.1e-06,0.113,0.502,105.982,308800,4,0.134
1,Freezzy,Liar mask,Liar mask,3jJU7OtjQLqk6a9zEsFKwl,0.463,0.854,2,-7.57,0,0.0623,0.0,0.268,0.432,90.034,289065,4,0.145
2,Frying-Pan,"TV Anime ""Ace of Diamond"" Original Soundtrack",Grow Stronger Day by Day - Theme of Sawamura -,1JdtDNjz2Uif96fgQyWTRP,0.368,0.715,9,-6.603,0,0.0339,0.865,0.28,0.597,160.006,115560,4,0.015
3,Mason Lieberman,You Say Run (UA Class of 2020 Edition),Might+u (UA Class of 2020 Edition),5hzwm8b8iNasCenOOzhrpb,0.223,0.316,7,-8.069,1,0.032,8.74e-05,0.133,0.203,131.849,217917,3,0.927
4,HIRAGANA KAMIYADO,HRGN,Kokoronotizu,4tfPNSXU3GtSnKC1AP9Twv,0.531,0.953,1,-3.225,1,0.0653,0.0,0.319,0.505,131.992,264091,4,0.0414
5,David Guthrie Music,Ichiban no Takaramono,Ichiban no Takaramono,6dQGa269GL40JDXWHKO4gq,0.565,0.6,10,-7.195,1,0.0296,0.0,0.121,0.361,119.995,366639,4,0.261
6,黒崎真音feat.TRUSTRICK,DEAD OR LIE,DEAD OR LIE,1WOxlIcQ9xt9hOKu87Peif,0.265,0.963,2,-2.328,0,0.204,0.0,0.0659,0.236,93.941,266707,4,0.0293
7,sora tob sakana,deep blue,New Stranger,4drOJg6VlWDmz0FQMHYyRc,0.611,0.852,10,-3.943,1,0.0509,7.91e-05,0.24,0.753,94.934,219000,4,0.03
8,Laharl Square,"Howling (From ""Nanatsu no Taizai Imashime no Fukkatsu"")","Howling (From ""Nanatsu no Taizai Imashime no Fukkatsu"")",4LkyLExiDe18qlQhY6NO8R,0.635,0.928,5,-3.246,1,0.0449,0.0,0.0834,0.779,100.054,95589,4,0.0199
9,Drake Bell,The Lost Album,You Want Me,3NwKAMwNAEDaZHhObPyMPz,0.496,0.726,11,-2.868,0,0.0447,1.19e-06,0.305,0.621,124.903,241920,4,0.0147
10,Motohiro Hata,ALRIGHT,キミ、メグル、ボク,5Dl6meciuYqdIJxeKyxsjA,0.53,0.864,9,-4.219,1,0.0299,0.0,0.261,0.907,144.963,249453,4,0.0105
11,Various Artists,OPENING&ENDING THEME FROM TV SERIES ”ISEKAI QUARTET 2“,ISEKAI SHOWTIME,0smY1ENi3nGBgXgWR48c9E,0.424,0.969,5,-2.275,0,0.0929,3.14e-06,0.366,0.436,173.946,223223,4,0.0405
