,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,acousticness
0,Various Artists,Frozen 2 (Banda Sonora Original en Español/Edición Deluxe),Muéstrate,043l1DXTiAQYsixo3AUljB,0.372,0.318,6,-7.963,1,0.0303,5.58e-05,0.0958,0.136,123.233,260907,4,0.822
1,Jaime Altozano,Roundstein,Roundstein,4GIT7n9gyvANOR8Zgqop7b,0.588,0.63,9,-6.767,0,0.0364,0.207,0.327,0.5,87.97,245568,4,0.39
2,松澤由美,Yumi Matsuzawa AnimeSong Cover Album,Chikyuugi,0CpzV7FSXdGwE5Y3I6vrU6,0.547,0.54,7,-7.99,0,0.028,0.0,0.322,0.491,102.976,252745,4,0.401
3,Los Malditos Subercaseaux,No Me Digas Que No,No Me Digas Que No,5kdPytSu6DZcG0pcLXrsQv,0.545,0.901,11,-5.874,0,0.0576,4.94e-06,0.187,0.818,152.872,194656,4,0.00625
4,Various Artists,熱烈!アニソン魂 THE BEST カバー楽曲集 TVアニメシリーズ「るろうに剣心 -明治剣客浪漫譚-」,1/2 (第39話〜82話 OP),0njqPPFUv1RHBjp2npEfLo,0.756,0.634,9,-7.356,1,0.0302,2.76e-05,0.144,0.397,122.885,308293,4,0.591
5,Leo Rey,Mortal Kumbiat,Mortal Kumbiat,1JRfEOcWLabaghAiszKuLp,0.85,0.859,9,-3.594,1,0.0445,0.0,0.326,0.807,105.989,231887,4,0.219
6,Do As Infinity,EIGHT,君がいない未来,5CYoCgM0Ixn3Z6tp8XGu68,0.395,0.951,5,-2.397,1,0.0539,0.0069,0.284,0.426,140.038,259573,4,0.000488
7,Bacilos,Carta a Cupido (Mariachi),Carta a Cupido - Mariachi,0nX30nciGOfI17nSNkueDo,0.65,0.452,10,-6.581,1,0.054,0.0,0.107,0.889,89.761,188176,4,0.662
8,Juanes,Más Futuro Que Pasado,Loco,06qp2aPjepeepM7sYg2AVS,0.753,0.885,6,-3.28,1,0.0682,0.0,0.177,0.946,153.987,196587,4,0.362
9,Don Tetto,Ahogándonos,Ahogándonos,1GaLdVgkge6l6q4jA8kd4M,0.496,0.883,1,-4.567,1,0.0381,0.0,0.286,0.909,159.955,221312,4,0.00841
10,DA PUMP,THE NEXT EXIT,Dragon Screamer,623pmkD6sclgLBQrrPqyz4,0.672,0.94,0,-2.421,1,0.0368,0.0,0.28,0.59,124.027,237233,4,0.0083
11,V0RA,IGNITE (Sword Art Online OP),IGNITE (Sword Art Online OP),5oTTl5Po6yU847TGj3N3PW,0.404,0.898,9,-5.847,0,0.127,0.0,0.0785,0.48,170.835,251579,4,0.0886
12,ElVallo,Pate Overload (DungeonOfDreams),Pate Overload (DungeonOfDreams),6Cj6eN4HSRhBLnWRjjBs9o,0.897,0.28,5,-18.455,0,0.266,7.88e-05,0.105,0.752,127.988,123794,4,0.114
13,Linked Horizon,Seishun wa Hanabi no Youni,Seishun wa Hanabi no Youni,7rNCnPglDEZn7pboEo24gC,0.424,0.888,5,-6.409,1,0.0345,0.0,0.375,0.772,183.364,93792,4,0.039
14,Bürdel King,Si Dios está en todas partes...,Mi color preferido eres tú,7nKVDV34IirtQTrQv9WjCb,0.46,0.945,1,-3.361,1,0.0508,0.00236,0.0557,0.785,136.006,232701,4,0.0161
15,Shawn Christmas,"Spark Again (From ""Fire Force"")","Spark Again (From ""Fire Force"")",78byYrEaSckukhbXGDAOrR,0.506,0.93,8,-6.646,1,0.06,0.00247,0.283,0.581,89.975,239667,4,8.46e-05
16,黒崎真音,H.O.T.D.,君と太陽が死んだ日,1JF069PxQvH1tXV5YrvkTN,0.478,0.921,7,-5.561,0,0.0654,0.0,0.148,0.102,104.003,220693,4,0.0154
17,Vittorio J. Greco,Dragon Ball Z Budokai 3 Opening,Dragon Ball Z Budokai 3 Opening,06S3rSJKuIpUX451KmaNch,0.378,0.918,4,-3.865,1,0.0498,0.925,0.047,0.803,185.053,98838,4,0.000182
18,Astroblk,"Soundcloud Archives, Vol. 1",Ooh Nani Nani,5XmNF9I9gKDAGL69OBwRnV,0.614,0.687,6,-10.061,1,0.0463,0.345,0.165,0.901,169.756,158145,4,0.163
19,Los Auténticos Decadentes,Juntos para Siempre,Juntos para Siempre,3gJSh0C11qoUhMjAAoSTa5,0.638,0.836,0,-7.763,1,0.0418,0.0,0.289,0.926,137.973,285326,4,0.305
20,Los Prisioneros,Estrechez de Corazón (En Vivo),Estrechez de Corazón (En Vivo),0UC5d0kcl6qxRjnjBdJdBN,0.637,0.994,5,-4.204,1,0.108,0.000196,0.947,0.326,127.013,440525,4,0.127
21,Nanaru,Kessen Spirit (Haikyuu!! Season 4),Kessen Spirit (Haikyuu!! Season 4),4sPr8UuwAAgjgD9dMJLPJB,0.43,0.903,8,-4.752,1,0.0624,1.65e-06,0.0538,0.46,185.001,275845,4,0.00137
22,We.B,"Last Surprise (From ""Persona 5 Scramble: The Phantom Strikers"")","Last Surprise (From ""Persona 5 Scramble: The Phantom Strikers"")",3MyCtd90ACaHV2ACrYq87D,0.623,0.972,5,-5.72,1,0.0663,1.39e-05,0.115,0.261,123.021,251796,4,0.0133
23,BACK-ON,rebirth,Chain 2020,5zlKsrY22S5285QKTBNaDX,0.519,0.892,10,-2.589,0,0.124,2.47e-05,0.0705,0.564,91.997,217333,4,0.00111
24,Alex Ubago,Siempre en mi mente,Sigo aquí (Treasure Planet) (Tema principal de la B.S.O. El planeta del tesoro),7MGhIpwZHdOgonZ69b5KEQ,0.547,0.648,9,-5.632,1,0.0299,0.0,0.0911,0.603,111.027,222320,3,0.00852
25,Trish Discord,Is This My Mental Breakdown?,Appease Me,5qEo08asQpQ4agNeH6Ai9j,0.584,0.478,6,-9.162,1,0.105,1.05e-06,0.0577,0.574,145.933,291056,4,0.248
26,大主宰乐团,剪刀刺客 (动画《刺客伍六七》主题曲),剪刀刺客 - 动画《刺客伍六七》主题曲,7GIm1pO5HRG5zF8WMCow0U,0.445,0.95,2,-4.133,0,0.0683,8.06e-05,0.0946,0.392,158.0,244557,4,0.00331
27,Jibaku Shonen Band,No.7,No.7,1MEJ1Lj7X9UUEs0yW4JEoA,0.428,0.942,6,-3.667,1,0.211,1.41e-05,0.276,0.431,94.919,232413,4,6.34e-05
28,Morat,No Termino,No Termino,3YjguG5v9vS5o8Cnciy76z,0.702,0.749,11,-3.743,1,0.0328,0.0,0.0839,0.817,137.98,239827,4,0.0443
29,Doctor Krápula,Corazon Bombea,Mi Sol - En Vivo,1I69iicsmQm3bRC8MGjoxC,0.633,0.914,0,-5.235,1,0.0691,0.0,0.871,0.697,89.95,280720,4,0.0692
